tweet_id,customer_id,created_at,customer_text,historical_reply
733,115863,Tue Oct 31 22:16:40 +0000 2017,@AppleSupport I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?,@115863 Go ahead and send us a DM please. Let us know the country you're in.
4917,116865,Tue Oct 31 23:03:40 +0000 2017,.@AppleSupport why my iPhone keep dying at 30% quit playing games I'm not getting no new damn phone or iPhone x,@116865 We'd like to help. What iOS version are you on?
5835,117105,Tue Oct 31 23:24:52 +0000 2017,You dropped an update and I️ still see boxed question marks. Fix this shit @AppleSupport @115858.,@117105 We're here to help. Which version of iOS is installed on your device? You'll see this in Settings &gt; General &gt; About.
6804,749158,Mon Oct 09 12:14:14 +0000 2017,@AppleSupport Made the phone battery draining,@749158 We'd like to help with any issues you're having on your iPhone. DM us details and we'll continue support there. https://t.co/GDrqU22YpT
6828,608040,Fri Oct 06 16:30:48 +0000 2017,@AppleSupport Can I get this update off my phone? My phone keeps freezing...,@608040 We want to be sure you can enjoy the new update. We'd love to help. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT
6839,324832,Fri Oct 13 13:34:53 +0000 2017,@AppleSupport notifications do not disappear after i read my emails.,@324832 We’re here to address your concerns. Let's team up in Direct Message using the link below. https://t.co/GDrqU22YpT
9238,121480,Wed Nov 01 19:53:37 +0000 2017,@AppleSupport Ahhh @521112,"@121480 We want to help you with the App Store. Try restarting first, and DM us if this persists: https://t.co/OWRDHWSt4h https://t.co/GDrqU22YpT"
9829,117806,Wed Nov 01 00:30:27 +0000 2017,@AppleSupport started before downloading 11.1 (was never able to download 11.0.3). hasn't gotten better since update,@117806 Let's continue within DM here: https://t.co/GDrqU22YpT
10685,117965,Wed Nov 01 00:14:00 +0000 2017,@AppleSupport I️ figured it out thanks 🤘🏽,@117965 Awesome! It's our pleasure. Feel free to reach out anytime a question comes up.
10693,117968,Sun Nov 12 17:35:39 +0000 2017,@AppleSupport Well it is now 11 days after and still no sign of it,@117968 Thanks for letting us know. Please send us a DM with the current country you're in. https://t.co/GDrqU22YpT
11107,118096,Wed Nov 01 00:50:59 +0000 2017,.@AppleSupport .@115858 haven’t been able to type I️ since the new update https://t.co/BtR51UmAzb,@118096 We certainly want you to be able to type. Have you tried restarting the device since this has happened?
12599,118517,Wed Nov 01 01:26:08 +0000 2017,@115858 @AppleSupport APPLE WHY IS MY “I️’s” coming out as question marked boxes &amp; pounds ?! Fix it jeezus,@118517 Hi. We are here to help. What version of iOS do you have?
13938,118929,Wed Nov 01 02:12:51 +0000 2017,it’s been doing this for two days... cmon @AppleSupport https://t.co/SVOOZiTXli,"@118929 We're anxious for you to have access to your downloads. Have you had a chance to restart the iPhone? If not, let's do that now."
14838,119210,Thu Sep 28 18:32:39 +0000 2017,@AppleSupport iOS 11 is draining the battery on my iPhone 7 twice as fast as iOS 10. Help!,@119210 We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in? https://t.co/GDrqU22YpT
23107,121032,Sat Nov 25 22:17:50 +0000 2017,"@AppleSupport All website. I can record with audio. The recording are playing well in Photos and the sound is ok. But when I import them in iMovie, the sound doesn’t follow. Only if I was in Safari when I made the screen recording",@121032 Is this iMovie for iOS or for the Mac?
31410,122925,Wed Nov 01 17:49:24 +0000 2017,@AppleSupport That worked. Thank you.,@122925 You're very welcome. Please let us know if there's anything else we can do for you.
31875,123042,Wed Nov 01 04:59:55 +0000 2017,@AppleSupport This is self explanatory screen shot of one of example of hanging https://t.co/mrQdCzjqXh,@123042 Let's see if updating the iPhone to iOS 11.1 helps. DM us if it doesn't. https://t.co/80YRnjDFDk https://t.co/GDrqU22YpT
33333,250825,Fri Nov 03 10:24:13 +0000 2017,"@123366 @AppleSupport This happens to me too, there is also a video streaming bug in Safari. Phone gets really warm and drains battery (3% in 90 seconds) using YT","@250825 Hey, we'd like to work with you to get everything sorted. DM us the iOS version of your iPhone and we'll go from there. https://t.co/GDrqU22YpT"
33357,123377,Wed Nov 01 06:34:50 +0000 2017,@115858 @AppleSupport Congrats. IOS 11.1 is making my iPhone 6 even more glitchy and prone to freezing than it was before. #WTF,@123377 We'd like to look into this with you. Please click here to connect with us in DM. We'll continue there. https://t.co/GDrqU22YpT
35213,123669,Wed Nov 01 10:08:24 +0000 2017,@AppleSupport Hola/Hello! I can use the AirPods witch Bluetooth audio transmisor? Any model? This no... https://t.co/ULMExUlaoX,@123669 You'll find more info on compatibilty with your AIrPods at the following link: https://t.co/Kd8IAdG7nA
35217,123671,Wed Nov 01 13:44:07 +0000 2017,@AppleSupport 7 Plus and most recent,@123671 Thank you. Please send us a DM and tell us the specific version number you see under Settings &gt; General &gt; About &gt; Version. https://t.co/GDrqU22YpT
35347,123705,Wed Nov 01 10:01:36 +0000 2017,"@AppleSupport my iphone 6s is rendered two 2 hours. Drained battery, killed all non used apps and still two hours. #newiosblows",@123705 Let's look into what's happening together. Send us a DM telling us the country you're located in to begin. https://t.co/GDrqU22YpT
35984,582035,Tue Oct 31 01:11:23 +0000 2017,@AppleSupport WatchOS 4 bricked my Apple Watch and now you expect me to pay to unbrick it when the fault is with your update. Apple are thieves!,@582035 We certainly don't like hearing that you are having issues with your Apple Watch. Let's explore if we have any options via DM. https://t.co/GDrqU22YpT
35986,753080,Tue Oct 31 05:28:44 +0000 2017,@AppleSupport I am an iPhone user n I like  apple earphones the most but one of ear plug is not working. bought my i phone in May2016. I am in canada,"@753080 We can help you with some options. Did these EarPods come with your iPhone? Also, have you tested them with another device?"
36643,123982,Wed Nov 01 13:57:32 +0000 2017,@AppleSupport any possibility to do that without completely wiping the memory? Thanks! 2/2,@123982 We're so sorry for your loss. Let's continue chatting via DM so we can take a look at the best options. https://t.co/GDrqU2kzhr
39674,124684,Wed Nov 01 07:17:52 +0000 2017,iOS11.1 update available. Let's hope this sorts the horrific battery life since the last one eh @AppleSupport?,"@124684 If you're having issues with the battery life on your iPhone, we certainly want to help. Let us know more in DM. https://t.co/GDrqU22YpT"
45581,126092,Wed Nov 01 16:04:48 +0000 2017,"Hey @AppleSupport - Thanks for providing me with outstanding #customerservice 

Much appreciated!",@126092 We're glad we could help you out today. Let us know if we can be of assistance in the future. Have a great day!
45590,126095,Wed Nov 01 15:58:29 +0000 2017,@126097 @AppleSupport Yes. Mine is doing the same,@126095 We'd like to look into this with you. Could you DM us the exact version of iOS you are running? https://t.co/GDrqU22YpT
46591,126353,Wed Nov 01 16:10:16 +0000 2017,So iOS 11.1 has got some bugs 😬 @AppleSupport @115858 https://t.co/GOjjfGtXSg,@126353 We want to help. Does this happen with other apps?
47995,126729,Wed Nov 01 16:35:11 +0000 2017,"@AppleSupport hi there, I need to inquire something regarding he refund of an item","@126729 For questions about refunds, our iTunes Store would be the best team to help. Reach out to them here:  https://t.co/SDIe7UiyJN"
50818,127403,Wed Nov 01 16:37:21 +0000 2017,Can’t get into apple news on iPhone🤷🏼‍♂️ @115858 @AppleSupport,@127403 Happy to help. So we're on the same page is this the Apple News app or the website you're attempting to access?
50839,127411,Wed Nov 01 17:19:42 +0000 2017,@AppleSupport Thank you for the reply. That Page was thé first thing I have double checked. I can connect with a contact. But that contact gets nothing..,"@127411 Thanks for trying those steps. Is this happening with one contact, or all contacts? Have you restarted your MacBook Air?"
53012,127947,Wed Nov 01 19:49:38 +0000 2017,@AppleSupport 11.0.3,@127947 Let's update your software to iOS 11.1 to resolve this. We do recommend backing up first. DM us the results: https://t.co/GDrqU22YpT
53596,128115,Thu Nov 02 01:15:09 +0000 2017,"@AppleSupport And if I delete the alias and create a new Apple ID, could I bring all of my devices and purchases to the new one?",@128115. Please DM us so that we can continue to look into this together. https://t.co/GDrqU22YpT
55103,128493,Wed Nov 01 19:01:36 +0000 2017,"@AppleSupport should I update my iPhone to 11.1 cause if I do my battery better last the whole day. My job depends on it, please advise",@128493 We advise always to keep your device updated for the best expereince.
58798,129386,Wed Nov 01 20:00:44 +0000 2017,@AppleSupport I order my phone at 3:01 27th get a confirmation from Best Buy I’m getting my phone on 11/3 now they said that’s not true!,@129386 We know you must be eager to receive your order. We'd suggest contacting BestBuy directly for help with tracking this order.
59603,129597,Wed Nov 01 21:36:31 +0000 2017,"@AppleSupport Yes unresponsive, i have blank screan, need to force close, and open again messages. Thanks","@129597 Thanks for those details. To help isolate the issue, can you tell us which version of iOS 11 your device is on?"
61368,265764,Tue Nov 21 19:54:07 +0000 2017,"@AppleSupport My iPhone 6 now crashes all the time 🙃.
Thank you for the wonderful update . It gets hanged and takes a million years to restart.",@265764 Let's work together to see how we can get your iPhone running smoothly again. Which exact iOS 11 version are you using under Settings &gt; General &gt; About? Are there certain apps or tasks being performed when you notice this behavior most often?
61384,780495,Tue Nov 21 22:09:27 +0000 2017,@AppleSupport After the latest software update my incall volume is terrible im struggling to hear what the other person is saying can you help?,"@780495 Thanks for reaching out. We're here to help. To start, let's try the steps here: https://t.co/XlmCP1Z14J

If the issue persists, DM us using the link below. https://t.co/GDrqU2kzhr"
62283,130266,Thu Nov 02 06:03:19 +0000 2017,@AppleSupport Yes,"@130266 You mentioned you disabled the widget and got it working again. Is it still working OK? If the issue is continuing, DM us. https://t.co/GDrqU22YpT"
63209,130501,Wed Nov 01 22:00:49 +0000 2017,"@AppleSupport thanks!, not only me, my wife and a friend,  keyboard is very slow and apps like the whatsapp takes up to 10 seconds to open","@130501 Let us know in DM whether you have been able to update to iOS 11.1, please. https://t.co/GDrqU22YpT"
84217,134523,Thu Nov 30 06:58:46 +0000 2017,@115858 Also can @AppleSupport please tell me why my one year old iPhone is crapping out and always freezes or dies?!?! This shit didn’t happen when I️ had an Android..... 🤔,@134523 We would love the opportunity to work with you today to get these issues corrected. Let's begin with finding out which iOS version you are running under Settings &gt; General &gt; About. DM us that version number here: https://t.co/GDrqU22YpT
87024,135043,Thu Nov 30 09:37:15 +0000 2017,@115858 @AppleSupport why do my phone keep vibrating like I have notifications? But when I check there’s no new ones,@135043 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this issue with you there. https://t.co/GDrqU22YpT
87062,135058,Thu Nov 30 20:31:53 +0000 2017,"@AppleSupport Thanks for taking attention on this matter. I’m not sure if this is a bug actually, but UI looks strange. I mean when I swipe to Control Center then StatusBar moves down. Why so? It’d be better to stay in it’s new home…","@135058 That is expected behavior with the Control Center and the status bar. However, we can help get you to the right place to make your suggestion about that. Provide your feedback here:  https://t.co/eTPVYVFyd8"
87063,135058,Thu Nov 30 09:02:33 +0000 2017,"Что-то statusbar уехал (

@AppleSupport, is it a bug or feature? https://t.co/CPqHI7wTUb","@135058 Hey, we'd like to learn some more information on what's going on so that we can help. Send us a DM with the exact iOS version currently installed, and we'll go from there. https://t.co/GDrqU22YpT"
87115,805158,Tue Nov 28 20:12:29 +0000 2017,@AppleSupport No battery life.. hanging... heat.. what not everything.. the worst experience with IPhone 6S that too just one year old device. I can say iPhone 4 and 5S old devices were awesome. @AppleSupport decline stage started..!! https://t.co/3UOBxpllWh,"@805158 It seems that you are having trouble with your device. If so, we'd like to help. Send us a DM. https://t.co/GDrqU22YpT"
87134,135065,Thu Nov 30 08:33:51 +0000 2017,"@AppleSupport @115858 I took a picture and when I went to the camera roll, about 11,000 photos went missing. I had around 24k, now at 13k.","@135065 We know how important your photos are, and we'd love to help. Since the photos disappeared, have you had a chance to restart your iPhone?"
90310,805192,Tue Nov 28 20:09:08 +0000 2017,@135589 @AppleSupport @115858 I can confirm the behavior on my machine running 10.13.1. Absolutely unbelievable!,"@805192 We'd like to take a closer look at what's happening. DM us with more details, including what type of Mac you're using. We'll look forward to chatting with you further. https://t.co/GDrqU22YpT"
90608,135610,Fri Dec 01 10:05:51 +0000 2017,@AppleSupport Thanks Apple the issue is sorted after updating to iOS 11.1.2,@135610 We're glad to hear that! Feel free to reach out to us again in the future.
92529,136035,Thu Nov 30 14:30:50 +0000 2017,"@AppleSupport this is what the new iOS 11 update does. You’ve ruined my phone with the new update. 
I am certain I am not the only one who feels this way. https://t.co/bKStjof2Uw",@136035 We'd be happy to look into this with you more in detail.  Let us know in DM the issue's you're experiencing and the iOS device you're using and we'll continue from there. https://t.co/GDrqU22YpT
92669,136063,Thu Nov 30 12:59:26 +0000 2017,"Mac wouldn’t wake from sleep today, had to force reboot, now it’s doing this. If this is how emergency security patches are installed, it’s not very friendly. @AppleSupport https://t.co/ylaToAcVxC",@136063 We understand how this would be disruptive when you need to use your Mac. Has the update completed? Are you able to use your Mac? https://t.co/GDrqU22YpT
92684,136067,Thu Nov 30 16:08:44 +0000 2017,@AppleSupport iOS 11.1.2 but it’s been an issue for quite a while now...maybe since the last version of iOS 10.x. All of other Apple products work as expected. I can manually open Safari and navigate to https://t.co/gXbKvv9iHf and that will work most of the time.,@136067 Okay. Join us in DM so we may better assist you: https://t.co/GDrqU22YpT
94862,136616,Thu Nov 30 15:04:15 +0000 2017,@115858 @AppleSupport Merci pour cette dernière mise à jour qui a planté mon Mac et j’ai perdu toutes mes données ! On en parle ?,@136616 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
96955,801939,Tue Nov 28 14:28:11 +0000 2017,@AppleSupport @AppleSupport Hello I founded an opening in your website how I can report it?,@801939 Send us a DM with more details. Let us also know the country you're in please. https://t.co/GDrqU22YpT
