example_id,intent,expected_route,escalation_reason,review_status,review_notes
G001,billing_subscription,escalate,billing_or_order_action,author_reviewed_ai_assisted,refund request
G002,order_delivery,escalate,billing_or_order_action,author_reviewed_ai_assisted,shipment status needs order lookup
G003,device_technical_issue,escalate,ambiguous,author_reviewed_ai_assisted,context-only speaker follow-up
G004,billing_subscription,escalate,billing_or_order_action,author_reviewed_ai_assisted,subscription entitlement
G005,device_technical_issue,escalate,billing_or_order_action,author_reviewed_ai_assisted,subscription may need entitlement check
G006,other,escalate,ambiguous,author_reviewed_ai_assisted,context-only follow-up
G007,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,Face ID fault
G008,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,repeated messages after update
G009,device_technical_issue,escalate,billing_or_order_action,author_reviewed_ai_assisted,paid ringtone entitlement and update issue
G010,account_access_security,escalate,account_or_security,author_reviewed_ai_assisted,iCloud sign-in failure
G011,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,Genius Bar availability
G012,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,storage reporting issue
G013,other,escalate,ambiguous,author_reviewed_ai_assisted,unclear referent
G014,order_delivery,escalate,billing_or_order_action,author_reviewed_ai_assisted,upgrade-program preorder policy
G015,account_access_security,escalate,account_or_security,author_reviewed_ai_assisted,verification to old phone number
G016,account_access_security,escalate,account_or_security,author_reviewed_ai_assisted,sign-in/download account issue
G017,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,missing playlist after update
G018,account_access_security,escalate,account_or_security,author_reviewed_ai_assisted,sign-in failure
G019,order_delivery,escalate,billing_or_order_action,author_reviewed_ai_assisted,delivery-date request
G020,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,keyboard rendering issue
G021,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,post-repair battery problem
G022,order_delivery,escalate,billing_or_order_action,author_reviewed_ai_assisted,preorder code missing
G023,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,Bluetooth connection issue
G024,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,Apple Music selection failure
G025,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,resolved storage display issue
G026,other,escalate,ambiguous,author_reviewed_ai_assisted,employment-details context missing
G027,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,keyboard input issue
G028,feedback_complaint,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,thanks only
G029,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,battery health issue
G030,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,Touch ID update error
G031,other,escalate,ambiguous,author_reviewed_ai_assisted,fragment with warranty context
G032,how_to,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,remove iOS update request
G033,order_delivery,escalate,billing_or_order_action,author_reviewed_ai_assisted,reservation status
G034,feedback_complaint,escalate,high_emotion,author_reviewed_ai_assisted,AppleCare complaint
G035,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,watch activity badge missing
G036,device_technical_issue,auto_handle,safe_general_guidance,author_reviewed_ai_assisted,lock-screen playback behavior
G037,repair_service,escalate,repair_case_specific,author_reviewed_ai_assisted,damaged replacement delayed
