example_id,customer_text,intent,action,escalation_reason,draft_reply,evidence_customer_text,evidence_historical_reply,human_groundedness,judge_groundedness,human_helpfulness,judge_helpfulness,human_safety,judge_safety,human_tone,judge_tone,human_rater_id,judge_model,notes
G127,"@AppleSupport Why is predictive text changing the letter “I” to I️? I️ reset my keyboard, turned my phone on/off, and it’s still doing it.",account_access_security,escalate,account_or_transaction_action,@customer Got it. Are you putting your iPhone in to recovery mode before restoring it per the steps in this article? https://t.co/iYLZzFD8qZ Let us know via a DM. We’ll keep moving from there. https://t.co/GDrqU22YpT,"@AppleSupport no my phone is not still connected to the computer , there are no other prompts from iTunes I have tried to plug my phone back into computer and reset my phone to a brand new phone and still getting the same message",@523244 Got it. Are you putting your iPhone in to recovery mode before restoring it per the steps in this article? https://t.co/iYLZzFD8qZ Let us know via a DM. We’ll keep moving from there. https://t.co/GDrqU22YpT,4,4,4,1,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Historical reply is grounded but irrelevant to keyboard issue.
G189,@AppleSupport Yes. Clean install to 11.1.2. I’ve turned off background refresh and all things that could be slowing it down and draining the battery. When typing the keyboard lags and freezes. Apps constantly crash. And my battery lasts maybe 5 hours max on full charge with moderate use.,billing_subscription,escalate,account_or_transaction_action,"@customer Let's work on this together. Here are a few tips to improve battery life, try them out, then DM us: https://t.co/bivpdfBNJ6 https://t.co/GDrqU22YpT","@AppleSupport since updat to new iOS my phone battery barely lasts 3 hours, charge to 45% with 10 minutes of using it back down 22%???","@565155 Let's work on this together. Here are a few tips to improve battery life, try them out, then DM us: https://t.co/bivpdfBNJ6 https://t.co/GDrqU22YpT",4,4,4,3,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Battery advice is relevant but incomplete for multiple failures.
G161,"Dear @115858, I downloaded the newest update and now I lose 1% battery every two minutes. Fix that. It’s a problem. Cc: @AppleSupport",device_technical_issue,auto_handle,safe_general_guidance,"@customer We'll help out. Are you continuing to see this issue on texts you're sending or is it only on texts you're receiving? If it's happening to you, let us know in DM. https://t.co/GDrqU22YpT",@AppleSupport I thought the newest update was supposed to fix this stupid I problem? Ugh,"@667725 We'll help out. Are you continuing to see this issue on texts you're sending or is it only on texts you're receiving? If it's happening to you, let us know in DM. https://t.co/GDrqU22YpT",4,4,4,1,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Reply asks about texts despite battery complaint.
G192,@AppleSupport @490995 hello this is also happening on my phone too!!! please fix this for everyone!!!!,device_technical_issue,escalate,low_intent_confidence,@customer Can you tell us which iOS version you're running?,"@AppleSupport I’m pretty sure everyone is experiencing it, everyone that has an iPhone lol",@788698 Can you tell us which iOS version you're running?,4,4,3,2,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Safe clarification but source context is missing.
G173,"@AppleSupport That worked, thank you!! 🙌🏻",feedback_complaint,escalate,high_emotion_or_feedback,@customer You're very welcome. Please let us know if there's anything else we can do for you.,@AppleSupport That worked. Thank you.,@122925 You're very welcome. Please let us know if there's anything else we can do for you.,4,4,4,5,5,5,5,5,friend_review,gpt-5.6-terra_manual_rubric,Appropriate acknowledgement after issue is resolved.
G128,@AppleSupport Hey. When I️ type “I️” it thinks it’s an emoji. How do I️ fix? https://t.co/liIOJbns1q,how_to,auto_handle,safe_general_guidance,@customer Thanks for reaching out and for providing us with the screenshot. Let's discuss this further in DM. https://t.co/GDrqU22YpT,@AppleSupport how do i fix this https://t.co/tp7fcx29Oz,@413220 Thanks for reaching out and for providing us with the screenshot. Let's discuss this further in DM. https://t.co/GDrqU22YpT,4,4,4,3,5,4,5,5,friend_review,gpt-5.6-terra_manual_rubric,Grounded response asks to move to DM rather than offering the fix.
G112,"@AppleSupport If I didn’t pre order the iPhone X, will I be able to get it by December if I order it once it comes out?",order_delivery,escalate,account_or_transaction_action,@customer We appreciate your interest and encourage you to stay up to date on Apple news here: https://t.co/gbIPLOsnZd,@AppleSupport I'm planning on getting the iPhone X but with the upgrade program that you have will I still have to pre order the phone,@136075 We appreciate your interest and encourage you to stay up to date on Apple news here: https://t.co/gbIPLOsnZd,4,4,4,3,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Safe availability guidance but not a direct answer.
G120,@AppleSupport Yes,other,escalate,ambiguous_or_out_of_scope,"@customer After you restarted the device, did it begin to charge normally? Were you using the iPhone while it was charging? If so, what applications were you using? Is this the first time this has happened?","@AppleSupport Yes, 8%","@229935 After you restarted the device, did it begin to charge normally? Were you using the iPhone while it was charging? If so, what applications were you using? Is this the first time this has happened?",4,4,4,1,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,No context supports the charging follow-up.
G198,@AppleSupport ... give it away for repair for 3 days. can you please advise what my options are. this is urgent. thank you so much,repair_service,escalate,repair_case_specific,"@customer We'd like to learn more about the trouble you're having with your MacBook Pro and explore our options to assist. Meet us in DM, we'll continue from there. https://t.co/GDrqU22YpT","@AppleSupport @116333 my new Macbook Pro died and the promised 3-5 day repair time is now well into 10 days, with the store being clueless. Cooool.","@266323 We'd like to learn more about the trouble you're having with your MacBook Pro and explore our options to assist. Meet us in DM, we'll continue from there. https://t.co/GDrqU22YpT",4,4,4,2,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Safe private handoff but generic for an urgent repair fragment.
G049,@AppleSupport I changed my email password . Is there anything else I can do ?,account_access_security,escalate,account_or_transaction_action,"@customer Thank you for reaching out, we're here to help. Can you tell us which device and which password you're trying to reset? If you're talking about Apple ID password check this out: https://t.co/fJnZYmbI9N",@AppleSupport I need to change my password how do I do that?,"@707118 Thank you for reaching out, we're here to help. Can you tell us which device and which password you're trying to reset? If you're talking about Apple ID password check this out: https://t.co/fJnZYmbI9N",4,4,4,3,5,5,5,4,friend_review,gpt-5.6-terra_manual_rubric,Relevant account help but the question remains underspecified.
